Feature,Importance
EmpLastSalaryHikePercent,0.2077817029868356
EmpEnvironmentSatisfaction,0.19347341729384182
YearsSinceLastPromotion,0.09664247406824268
EmpJobRole,0.042544102692342475
ExperienceYearsInCurrentRole,0.04079851931073355
EmpDepartment,0.036409446088749
EmpHourlyRate,0.03629363865670105
ExperienceYearsAtThisCompany,0.03344066832407783
Age,0.03336457791988713
YearsWithCurrManager,0.029910479523338654
TotalWorkExperienceInYears,0.028299795321865356
DistanceFromHome,0.027659553501180222
EmpWorkLifeBalance,0.0271635479129509
NumCompaniesWorked,0.02016735177227718
TrainingTimesLastYear,0.020003209000837553
EmpRelationshipSatisfaction,0.01618977649834315
EmpEducationLevel,0.016021566637185104
EmpJobSatisfaction,0.0152382553970921
EducationBackground,0.013680980751489234
EmpJobLevel,0.013333662457545296
EmpJobInvolvement,0.012920548414380353
MaritalStatus,0.01015903659593935
BusinessTravelFrequency,0.009814893213460291
OverTime,0.006723431876285793
Gender,0.006344858030068917
Attrition,0.005620505754349545
